color-in-hex
#ffffb2
#fed976
#feb24c
#fd8d3c
#fc4e2a
#e31a1c
#b10026
#9e0142
#d53e4f
#f46d43
#fdae61
#fee08b
#ffffbf
#e6f598
#abdda4
#a6dba0
#5aae61
#1b7837
#00441b
#004529
#006837
#238443
#41ab5d
#78c679
#addd8e
#d9f0a3
#f7fcb9
